LOC Updated as of: 06/04/25 03:28:42
Cloc Analysis Results
=====================

Analyzing DigipenEngine/7percent:

github.com/AlDanial/cloc v 1.90  T=4.05 s (86.0 files/s, 22697.2 lines/s)
-------------------------------------------------------------------------------------------------------------
File                                                                      blank        comment           code
DigipenEngine/7percent/CheatCodes.h                                          21             75             29
DigipenEngine/7percent/GameTime.h                                            23            107             29
DigipenEngine/7percent/Holdable.h                                            14             56             29
DigipenEngine/7percent/SplashComponent.cpp                                    6              2             29
DigipenEngine/7percent/Bar.h                                                 13             66             28
DigipenEngine/7percent/Rotater.h                                              8             49             28
DigipenEngine/7percent/ryan-c/FontAtlas.h                                    13             19             28
DigipenEngine/7percent/HiddenSwitch.cpp                                       6             17             27
DigipenEngine/7percent/Intel.h                                                8             50             27
DigipenEngine/7percent/MultiSpriteComponent.h                                10             54             27
DigipenEngine/7percent/ryan-c/QueryManager.h                                 12             17             27
DigipenEngine/7percent/Gibs.h                                                12             43             26
DigipenEngine/7percent/Healthpack.h                                           5             47             26
DigipenEngine/7percent/ItemInfoPanel.h                                        2              0             26
DigipenEngine/7percent/Tween.h                                                8             55             26
DigipenEngine/7percent/MultiReference.h                                       1              8             25
DigipenEngine/7percent/ryan-c/DebugMsgr.cpp                                   8             17             25
DigipenEngine/7percent/ryan-c/Device.h                                        9             19             25
DigipenEngine/7percent/Animation.h                                           11             29             24
DigipenEngine/7percent/Confirmation.cpp                                       9             18             24
DigipenEngine/7percent/IntelDoor.h                                            4             33             24
DigipenEngine/7percent/SplashComponent.h                                      7              0             24
DigipenEngine/7percent/ArmPivot.cpp                                           9             17             23
DigipenEngine/7percent/Confirmation.h                                        12             51             23
DigipenEngine/7percent/ryan-c/Surface.cpp                                     7             17             23
DigipenEngine/7percent/DropPodComponent.h                                    12             41             22
DigipenEngine/7percent/IHiddenComponent.h                                    11             55             22
DigipenEngine/7percent/Rotater.cpp                                            7             18             22
DigipenEngine/7percent/Import.h                                              11             51             21
DigipenEngine/7percent/NameComponent.h                                       13             66             21
DigipenEngine/7percent/TextSystem.h                                          12             37             21
DigipenEngine/7percent/ArmPivot.h                                             8             39             20
DigipenEngine/7percent/FunctionQueue.h                                        9             19             20
DigipenEngine/7percent/HiddenSwitch.h                                         7             35             20
DigipenEngine/7percent/IRegisteredComponent.cpp                               8             17             20
DigipenEngine/7percent/KillAnimationWhenFinish.cpp                            9             17             20
DigipenEngine/7percent/LayersMatrix.h                                        12             45             20
DigipenEngine/7percent/MacroTemplates.h                                       7             18             20
DigipenEngine/7percent/MainObjective.h                                        8             18             20
DigipenEngine/7percent/TweenBase.h                                            7             40             20
DigipenEngine/7percent/KillAnimationWhenFinish.h                             11             39             19
DigipenEngine/7percent/Highlightable.h                                        9             73             18
DigipenEngine/7percent/LightingSystem.cpp                                    10             20             18
DigipenEngine/7percent/LightingSystem.h                                       8             42             18
DigipenEngine/7percent/PlayerDeathManager.h                                   7             38             18
DigipenEngine/7percent/TrailSystem.h                                          3              0             18
DigipenEngine/7percent/ryan-c/DescriptorPoolManager.h                        10             17             18
DigipenEngine/7percent/ryan-c/Surface.h                                       9             19             18
DigipenEngine/7percent/EntityStateMachine.cpp                                 9             18             17
DigipenEngine/7percent/PrefabWindow.h                                         8             25             17
DigipenEngine/7percent/SettingsWindow.h                                      11             42             17
DigipenEngine/7percent/TypeID.h                                               9             43             17
DigipenEngine/7percent/HotReloader.cpp                                        3             19             16
DigipenEngine/7percent/IEditorComponent.cpp                                  10             18             16
DigipenEngine/7percent/Popup.h                                               11             56             16
DigipenEngine/7percent/ryan-c/DebugMsgr.h                                    10             19             16
DigipenEngine/7percent/ryan-c/Vk_Incl.h                                       8             17             16
DigipenEngine/7percent/ryan-c/Instance.h                                      9             20             15
DigipenEngine/7percent/IGameComponentCallbacks.cpp                            7             18             14
DigipenEngine/7percent/ScriptManagement.h                                    14             70             14
DigipenEngine/7percent/BossBoundedComponent.h                                 4             10             12
DigipenEngine/7percent/GameStateMachine.cpp                                   8             18             12
DigipenEngine/7percent/HoldableGroundCheck.cpp                                4              0             12
DigipenEngine/7percent/RenderSystem.h                                         7             17             12
DigipenEngine/7percent/TypeID.cpp                                             7             18             12
DigipenEngine/7percent/EditorTweenModule.h                                    9             40             11
DigipenEngine/7percent/Sprite.h                                               7             19             11
DigipenEngine/7percent/RandUID.h                                             11             43             10
DigipenEngine/7percent/RenderSystem.cpp                                       5             17             10
DigipenEngine/7percent/AnimatorSystem.h                                       6             17              9
DigipenEngine/7percent/IHiddenComponent.cpp                                   6             18              9
DigipenEngine/7percent/MainObjective.cpp                                      8             18              9
DigipenEngine/7percent/ScriptGlue.h                                           7             24              9
DigipenEngine/7percent/resource.h                                             1              6              9
DigipenEngine/7percent/ryan-c/Buffer.h                                        8             17              9
DigipenEngine/7percent/BossBoundedComponent.cpp                               2              0              8
DigipenEngine/7percent/ECSSysLayers.cpp                                       7             17              8
DigipenEngine/7percent/HotReloader.h                                          7             27              8
DigipenEngine/7percent/SceneTransitionManager.h                               4             25              8
DigipenEngine/7percent/ryan-c/FontAtlas.cpp                                   4             17              8
DigipenEngine/7percent/AudioSystem.cpp                                        4             19              7
DigipenEngine/7percent/AudioSystem.h                                          6             28              7
DigipenEngine/7percent/PauseSystem.h                                          6             27              7
